Tanggal,Tn,Tx,Tavg,RH_avg,RR,ddd_x,ff_avg
27-03-2023,22.2,29.4,24.4,92,45,240,2
28-03-2023,22.9,30.6,26.4,83,0,270,2
29-03-2023,23.3,31.9,26,86,0,150,2
30-03-2023,23.1,31.8,26.4,84,13.4,30,1
31-03-2023,23.6,31.4,26.7,84,2.2,240,1
01-04-2023,23.6,31.2,26.3,88,2,250,2
02-04-2023,24.6,30.8,27.1,83,0,260,2
03-04-2023,24.9,30.3,27.3,84,0,310,3
04-04-2023,23.9,30.9,27,81,0.3,260,3
05-04-2023,23.5,30.4,27,82,0,250,2
06-04-2023,24.2,31,27.5,82,0,280,3
07-04-2023,25.4,31.9,27.7,80,0,220,2
08-04-2023,23.9,30.8,27.3,83,0,270,2
09-04-2023,24,31.2,27.3,83,0,260,3
10-04-2023,24.1,29.3,26.6,86,7.6,290,4
11-04-2023,24.3,30.6,27.6,83,13.2,270,4
12-04-2023,24.7,30.7,27,87,5,320,3
13-04-2023,23.4,29,26,88,62.4,300,3
14-04-2023,23.9,29,26,91,5,50,2
15-04-2023,24.1,29.9,26.8,84,2.4,250,2
16-04-2023,24.4,31.2,27.7,83,0,280,3
17-04-2023,23.7,30.9,27.4,85,0,270,2
18-04-2023,24.2,31.2,27.7,83,0,170,3
19-04-2023,24,30.7,28.1,81,0,180,3
20-04-2023,25.2,30.8,28.2,84,5.6,170,3
21-04-2023,25,30.8,27.5,85,0,170,3
22-04-2023,24.5,31.7,27.6,86,0,160,3
23-04-2023,24.1,31.1,27.9,85,0.2,170,3
24-04-2023,24.6,31,27.9,88,11.6,160,2
25-04-2023,25.4,30.7,27.5,85,0,260,2
26-04-2023,25.2,30.6,27.7,88,0.2,210,3
27-04-2023,25.8,31,28.2,85,0,150,4
28-04-2023,25.6,30.8,27.7,88,0.4,170,3
29-04-2023,24.9,30.5,27,88,0,80,2
30-04-2023,24.5,30.3,26.9,85,0,170,2
01-05-2023,24.1,31,27.7,84,0,230,2
02-05-2023,23.6,31.9,27,87,16.7,110,2
03-05-2023,25.3,31.8,27.4,86,0,100,2
04-05-2023,24.8,31.5,27,88,0,360,1
05-05-2023,23.9,31.3,26.8,89,64.8,260,2
06-05-2023,24.7,30.8,26.8,90,3.5,260,2
07-05-2023,24.8,30.8,26.6,91,8.3,220,1
08-05-2023,23.6,32.2,27.2,82,4.1,250,2
09-05-2023,23.4,32,29,73,0.2,340,1
10-05-2023,23.6,33.4,28.1,79,0,130,2
11-05-2023,24.8,32.7,27.5,83,0.4,90,2
12-05-2023,23.8,32.6,29.9,72,2.8,100,1
13-05-2023,24.6,31.1,27,78,0,220,2
14-05-2023,21.6,29.8,27.1,73,0,200,2
15-05-2023,22,30.3,27.6,67,0,190,2
16-05-2023,20.8,30.7,25.8,75,0,210,2
17-05-2023,21.4,30.8,26,72,0,220,2
18-05-2023,21.4,30.4,25.4,78,0,260,2
19-05-2023,22.4,31.8,26.4,76,0,200,1
20-05-2023,22.2,32.5,26.5,78,0,240,1
21-05-2023,21.8,31.8,26,78,0,270,2
22-05-2023,22.1,31.2,26.2,76,0,250,2
